signal,family,symbols,timeframe,passed,oos_sharpe,oos_total_return,oos_max_dd,oos_profit_factor,oos_win_rate,oos_trades,oos_cagr,oos_exposure,is_sharpe,wf_sharpe,wf_positive_windows,mc_dd_p05,mc_prob_loss,sens_retention,lag_sharpe,worst_regime_dd,deflated_prob,robustness_score,reject_reasons,best_params
mtf_trend,trend,TREND4,1h,True,5.831162225500001,3.51830192417417,-0.1617601371392291,9.266664571738621,0.5185185185185185,27,38.28402164799469,0.6797222222222222,2.490790544223546,4.704334206633848,1.0,-0.27362507120735935,0.0,0.8821688403293748,5.555126052108544,-0.16473390947989086,0.9997595925626882,90.24,,"{'htf_rule': '1D', 'htf_fast': 10, 'htf_slow': 30, 'ltf_fast': 20, 'ltf_slow': 50}"
ensemble_vote,hybrid,TREND3,1h,True,4.010675276639981,1.3177955533643604,-0.19200878727746495,3.960557681451041,0.36363636363636365,44,6.73742235632267,0.8280555555555555,1.664143201393807,3.140038368661433,0.5,-0.3090373647163361,0.0,0.8671231099756106,3.9433490103634563,-0.1531304879607277,0.9727135624378586,79.28,,{'min_agree': 0.34}
ensemble_vote,hybrid,TREND4,1h,False,3.3097671120914045,1.0467292079686343,-0.23111472409089795,2.661357028018628,0.26,50,4.716417250556345,0.8186111111111111,2.224008233540048,2.854945600977661,1.0,-0.3611342352614386,0.0225,0.9263477802414415,3.4138421749399113,-0.17494772906078404,0.9361115795456258,88.14,MC p05 drawdown 36.1% > 35%,{'min_agree': 0.34}
trend_pullback,hybrid,TREND4,1h,False,4.1164728758534945,2.315794578678801,-0.28782460528352816,4.637651674450955,0.35714285714285715,14,17.497591238979364,1.0,2.453489410538958,4.0150848002392,1.0,-0.439740644684516,0.0125,0.9163361865420271,3.907335586600341,-0.25153539185177776,0.9921107617328919,85.8,OOS maxDD 28.8% > 25%; 14 OOS trades < 25; MC p05 drawdown 44.0% > 35%,"{'fast': 50, 'slow': 200, 'bb_window': 20, 'n_std': 1.0, 'hold': 96}"
weighted_composite,hybrid,TREND4,1h,False,3.261490618908254,1.4077782344815843,-0.3556156884628344,2.900242020902616,0.30357142857142855,56,7.489031162419714,0.8988888888888888,1.4984448128606522,2.821046747043501,1.0,-0.47873813314452673,0.0425,0.9735117663305515,3.3168241982600675,-0.30389591384942527,0.9760972354840147,84.89,OOS maxDD 35.6% > 25%; MC p05 drawdown 47.9% > 35%,"{'w_trend': 0.4, 'w_mom': 0.4, 'w_rev': 0.0}"
ema_cross,trend,TREND4,1h,False,3.3670154159360193,1.606616194260993,-0.36790868801869103,3.591189437860493,0.35714285714285715,14,9.297589270324433,1.0,2.1554063743394143,3.3912408983360325,1.0,-0.48295799975486614,0.035,0.8384099338668066,3.447166958522902,-0.2868418591958809,0.9537008325394706,83.12,OOS maxDD 36.8% > 25%; 14 OOS trades < 25; MC p05 drawdown 48.3% > 35%,"{'fast': 80, 'slow': 200, 'allow_short': True}"
weighted_composite,hybrid,TREND3,1h,False,3.9009990752356276,1.9477797379007966,-0.256423897269037,5.3986199510217805,0.2413793103448276,29,12.891698108159485,0.9697222222222223,1.965498287828816,2.759901893369392,0.75,-0.4038375489362655,0.0125,0.8493818760257295,3.9589767757258754,-0.2698496348416738,0.9740491155983547,80.41,OOS maxDD 25.6% > 25%; MC p05 drawdown 40.4% > 35%,"{'w_trend': 0.4, 'w_mom': 0.4, 'w_rev': 0.0}"
ema_cross,trend,TREND3,1h,False,4.3955441154197885,2.772326501796612,-0.2204082551262434,7.336437958053356,0.36363636363636365,11,24.320508422290146,1.0,1.5704093636110756,3.1645288318575533,0.75,-0.391307843292791,0.0,0.7151279916691073,4.320784948517777,-0.3020500311773736,0.9845367786085105,78.61,11 OOS trades < 25; MC p05 drawdown 39.1% > 35%,"{'fast': 80, 'slow': 200, 'allow_short': True}"
mtf_trend,trend,TREND2,1h,False,3.026054347938691,1.1246765075055465,-0.27185908228141853,2.600457788958586,0.4444444444444444,27,5.26085730968848,0.615,3.153919724569413,4.419616759856166,0.75,-0.4226621281820171,0.0275,0.8069075553107901,2.7723122042416124,-0.21676105488078157,0.8833682531842896,78.59,OOS maxDD 27.2% > 25%; MC p05 drawdown 42.3% > 35%,"{'htf_rule': '1D', 'htf_fast': 10, 'htf_slow': 30, 'ltf_fast': 30, 'ltf_slow': 50}"
donchian_breakout,trend,TREND4,1h,False,3.2865021556132454,1.106597227990942,-0.2611802027806188,2.099779306530301,0.44680851063829785,47,5.131976026586182,0.5786111111111111,1.9239937810740353,1.5396628875654434,0.75,-0.39712673518735137,0.035,0.8174658760103071,3.416263862194681,-0.20870753273222065,0.7989832798944044,78.51,OOS maxDD 26.1% > 25%; MC p05 drawdown 39.7% > 35%; deflated P(SR>0) 0.80 < 0.8 (not distinguishable from luck over 962 trials),"{'entry': 55, 'exit': 10, 'allow_short': True}"
